Brand,URL,Brand_URL_Part
Cocosolis,https://www.douglas.pl/pl/b/cocosolis/b1915,b1915
Code8,https://www.douglas.pl/pl/b/code8/b6627,b6627
colibri skincare,https://www.douglas.pl/pl/b/colibri-skincare/b8184,b8184
Collistar,https://www.douglas.pl/pl/b/collistar/b1276,b1276
Collosol,https://www.douglas.pl/pl/b/collosol/b6265,b6265
COLOR WOW,https://www.douglas.pl/pl/b/color-wow/b4750,b4750
Comme des Garçons,https://www.douglas.pl/pl/b/comme-des-garcons/b7380,b7380
COMMON CLOUDS,https://www.douglas.pl/pl/b/common-clouds/b8213,b8213
Comodynes,https://www.douglas.pl/pl/b/comodynes/b0986,b0986
Compeed,https://www.douglas.pl/pl/b/compeed/b0000,b0000
Constance Carroll,https://www.douglas.pl/pl/b/constance-carroll/b7576,b7576
Coola,https://www.douglas.pl/pl/b/coola/b5352,b5352
CORBO,https://www.douglas.pl/pl/b/corbo/be408,be408
Corpus,https://www.douglas.pl/pl/b/corpus/bf296,bf296
Cosmiq,https://www.douglas.pl/pl/b/cosmiq/b8743,b8743
Cosmos,https://www.douglas.pl/pl/b/cosmos/bb152,bb152
Cosrx,https://www.douglas.pl/pl/b/cosrx/ba794,ba794
Courreges,https://www.douglas.pl/pl/b/courreges/bc870,bc870
Cowboysbag,https://www.douglas.pl/pl/b/cowboysbag/ba418,ba418
Creamy,https://www.douglas.pl/pl/b/creamy/b2251,b2251
Creed,https://www.douglas.pl/pl/b/creed/b0192,b0192
Cristiano Ronaldo,https://www.douglas.pl/pl/b/cristiano-ronaldo/ba287,ba287
Crystallove,https://www.douglas.pl/pl/b/crystallove/b6201,b6201
CTZN Cosmetics,https://www.douglas.pl/pl/b/ctzn-cosmetics/b7018,b7018
Curaprox,https://www.douglas.pl/pl/b/curaprox/ba542,ba542
Curlsmith,https://www.douglas.pl/pl/b/curlsmith/b9172,b9172
Cyrulicy,https://www.douglas.pl/pl/b/cyrulicy/b2252,b2252
DADO SENS Dermacosmetics,https://www.douglas.pl/pl/b/dado-sens-dermacosmetics/b1042,b1042
DAFNI,https://www.douglas.pl/pl/b/dafni/b6794,b6794
D’ALCHÉMY,https://www.douglas.pl/pl/b/dalchemy/bp043,bp043
Dame,https://www.douglas.pl/pl/b/dame/ba455,ba455
Daniel Wellington,https://www.douglas.pl/pl/b/daniel-wellington/bc235,bc235
David Beckham,https://www.douglas.pl/pl/b/david-beckham/b0659,b0659
David Mallett,https://www.douglas.pl/pl/b/david-mallett/ba456,ba456
Davidoff,https://www.douglas.pl/pl/b/davidoff/b0107,b0107
Da Vinci,https://www.douglas.pl/pl/b/da-vinci/b0587,b0587
Dax Sun,https://www.douglas.pl/pl/b/dax-sun/b8932,b8932
Dear Dahlia,https://www.douglas.pl/pl/b/dear-dahlia/b6720,b6720
Dear Klairs,https://www.douglas.pl/pl/b/dear-klairs/ba791,ba791
Deborah Lippmann,https://www.douglas.pl/pl/b/deborah-lippmann/ba682,ba682
Declaré,https://www.douglas.pl/pl/b/declare/b0122,b0122
Delia Cameleo,https://www.douglas.pl/pl/b/delia-cameleo/b6096,b6096
Delia Cosmetics,https://www.douglas.pl/pl/b/delia-cosmetics/b6089,b6089
Dentissimo,https://www.douglas.pl/pl/b/dentissimo/bp195,bp195
Derek Lam,https://www.douglas.pl/pl/b/derek-lam/b5512,b5512
Derma,https://www.douglas.pl/pl/b/derma/bp044,bp044
Dermalogica,https://www.douglas.pl/pl/b/dermalogica/b0043,b0043
Dermaroller,https://www.douglas.pl/pl/b/dermaroller/bc302,bc302
Dermash Cosmetics,https://www.douglas.pl/pl/b/dermash-cosmetics/b6278,b6278
Dermika,https://www.douglas.pl/pl/b/dermika/bp165,bp165
Dermz Laboratories,https://www.douglas.pl/pl/b/dermz-laboratories/b2247,b2247
Diana Vreeland,https://www.douglas.pl/pl/b/diana-vreeland/ba620,ba620
Diblanc,https://www.douglas.pl/pl/b/diblanc/bp046,bp046
Dicora Urban Fit,https://www.douglas.pl/pl/b/dicora-urban-fit/b4835,b4835
Diego dalla Palma,https://www.douglas.pl/pl/b/diego-dalla-palma/b5124,b5124
Diesel,https://www.douglas.pl/pl/b/diesel/b1165,b1165
Difeel,https://www.douglas.pl/pl/b/difeel/b1039,b1039
Diforo,https://www.douglas.pl/pl/b/diforo/b1110,b1110
DIOR,https://www.douglas.pl/pl/b/dior/b0690,b0690
Disney,https://www.douglas.pl/pl/b/disney/b9930,b9930
DIVES MED,https://www.douglas.pl/pl/b/dives-med/b6560,b6560
DKNY,https://www.douglas.pl/pl/b/dkny/b9959,b9959
Doctor Duve Medical,https://www.douglas.pl/pl/b/doctor-duve-medical/b5687,b5687
Doctor Eckstein,https://www.douglas.pl/pl/b/doctor-eckstein/b4066,b4066
DOCTOR MI!,https://www.douglas.pl/pl/b/doctor-mi/bf638,bf638
Doers of London,https://www.douglas.pl/pl/b/doers-of-london/ba458,ba458
Dolce&Gabbana,https://www.douglas.pl/pl/b/dolcegabbana/b0204,b0204
Doll Face,https://www.douglas.pl/pl/b/doll-face/b6657,b6657
Doppelherz,https://www.douglas.pl/pl/b/doppelherz/ba242,ba242
Dose of Colors,https://www.douglas.pl/pl/b/dose-of-colors/b3832,b3832
Double Dare,https://www.douglas.pl/pl/b/double-dare/bp048,bp048
Douglas,https://www.douglas.pl/pl/b/douglas/b8767,b8767
Douglas Accessoires,https://www.douglas.pl/pl/b/douglas-accessoires/b9994,b9994
Douglas Collection,https://www.douglas.pl/pl/b/douglas-collection/b9834,b9834
Dove,https://www.douglas.pl/pl/b/dove/b4594,b4594
DR AMBROZIAK LABORATORIUM,https://www.douglas.pl/pl/b/dr-ambroziak-laboratorium/b3891,b3891
Dr. Barbara Sturm,https://www.douglas.pl/pl/b/dr-barbara-sturm/b5648,b5648
DR. BRANDT,https://www.douglas.pl/pl/b/dr-brandt/bp050,bp050
Dr. Bronner's,https://www.douglas.pl/pl/b/dr-bronners/b9843,b9843
Dr. Ceuracle,https://www.douglas.pl/pl/b/dr-ceuracle/b2285,b2285
Dr Dennis Gross,https://www.douglas.pl/pl/b/dr-dennis-gross/b3911,b3911
